links and their lengths in km,
***START OF FILE***,
***START OF NODE***,
1,100,
2,100,
3,100,
4,100,
5,100,
6,100,
7,100,
8,100,
9,100,
10,100,
11,100,
12,100,
13,100,
14,100,
***END OF NODE***,
***START OF LINK***,
1,2,2100,
1,3,3000,
1,8,4800,
2,1,2100,
2,3,1200,
3,1,3000,
3,2,1200,
3,4,1200,
3,6,3600,
4,3,1200,
4,5,1200,
5,4,1200,
5,6,2400,
5,7,1200,
6,3,3600,
6,5,2400,
6,10,2100,
7,5,1200,
7,8,1500
7,10,2700,
8,1,4800,
8,7,1500,
8,9,1500,
8,11,600,
9,8,1500,
9,10,1500,
9,13,600,
10,6,2100,
10,7,2700,
10,9,1500,
10,14,1000
11,8,600,
11,12,120,0,
12,11,1200,
12,13,100,
13,9,600,
13,12,100,
13,14,300,
14,10,1000,
14,13,300,
***END OF LINK***,
***END OF FILE***
